"","N","p0","p0_hat","time","sens","spec"
"1",100,0.95,0.682722003611369,10.2250000000004,1,0.957446808510638
"2",100,0.9,0.64025262318501,6.75,1,0.967741935483871
"3",100,0.8,0.765332521948958,0.811999999999898,1,0.964705882352941
"4",500,0.95,0.764298575505797,30.2029999999995,1,0.956340956340956
"5",500,0.9,0.818423198363047,7.46500000000015,0.979591836734694,0.966740576496674
"6",500,0.8,0.738228489894395,9.89899999999943,0.990196078431373,0.974874371859296
"7",1000,0.95,0.835456705322545,47.3870000000006,0.964912280701754,0.985153764581124
"8",1000,0.9,0.701945442446274,5.20900000000074,0.971428571428571,0.974301675977654
"9",1000,0.8,0.643800571222552,6.77399999999943,0.99492385786802,0.972602739726027
"10",5000,0.95,0.767053709017216,316.128000000001,0.928286852589641,0.98989260897031
"11",5000,0.9,0.724325580398255,96.1579999999994,0.985915492957746,0.976460137685987
"12",5000,0.8,0.649669576567853,115.449999999999,0.996926229508197,0.965705765407555
"13",10000,0.95,0.816547018722676,2812.527,0.942800788954635,0.990413989255241
"14",10000,0.9,0.804674267529022,2844.369,0.949897750511247,0.987031700288184
"15",10000,0.8,0.757086641996717,2313.147,0.948959365708622,0.988223502881483
"16",15000,0.95,0.803213327462681,6565.454,0.968792401628223,0.985206478300498
"17",15000,0.9,0.726861715419174,1320.562,0.975300400534045,0.98163235076285
"18",15000,0.8,0.729669385092401,4321.991,0.980372588157019,0.982157745539436
"19",20000,0.95,0.800542032441364,11814.662,0.942148760330578,0.989859184531316
"20",20000,0.9,0.725715718464544,4851.08,0.976661593099949,0.981252426645959
"21",20000,0.8,0.621866725945267,1186.257,0.99508116084604,0.964478473704029
"22",25000,0.95,0.739307089150313,4506.291,0.943238731218698,0.989916813713133
"23",25000,0.9,0.730785784045811,5231.478,0.979393939393939,0.982952275249723
"24",25000,0.8,0.755243977310441,19003.479,0.957562349155269,0.987217894947074
