"","N","p0","p0_hat","time","sens","spec"
"1",100,0.95,0.84369965793204,1.51000000000931,1,0.946808510638298
"2",100,0.9,0.0465930058978859,55.0409999999974,1,0.0412371134020619
"3",100,0.8,0.830313777099747,0.596000000005006,1,1
"4",500,0.95,0.750944791523276,46.3080000000045,1,0.960905349794239
"5",500,0.9,0.872192762001415,18.7220000000088,1,0.993506493506494
"6",500,0.8,0.766076488669665,26.7849999999889,1,0.997395833333333
"7",1000,0.95,0.946672464804278,71.7760000000126,1,0.998947368421053
"8",1000,0.9,0.888471022668081,18.2100000000064,1,0.996703296703297
"9",1000,0.8,0.790929867385432,49.4940000000061,1,1
"10",5000,0.95,0.945307269347998,186.311999999991,1,0.999578503688093
"11",5000,0.9,0.899127415726169,102.231,0.997983870967742,0.999333925399645
"12",5000,0.8,0.798107636978564,116.442999999999,1,0.99949924887331
"13",10000,0.95,0.940448426633127,459.646999999997,1,0.998945926004005
"14",10000,0.9,0.901214700840426,537.601999999999,1,0.999889061459951
"15",10000,0.8,0.803542355565132,339.053,0.997960224375319,0.999751212837418
"16",15000,0.95,0.946104968467731,1430.84599999999,0.998706338939198,0.999367400014058
"17",15000,0.9,0.897327746024721,703.903999999995,1,0.999406880189798
"18",15000,0.8,0.80212676129882,702.296000000002,0.998987512656092,0.999667691285204
"19",20000,0.95,0.928190388116215,1270.412,1,0.996986837236348
"20",20000,0.9,0.899358768456124,1226.322,0.999495204442201,0.999389533270437
"21",20000,0.8,0.80057550728405,1275.481,0.99874245472837,0.999687968047928
"22",25000,0.95,0.92415439405873,1994.17099999999,1,0.996292238982051
"23",25000,0.9,0.901250088739621,1918.803,0.999586606035552,0.999158584650813
"24",25000,0.8,0.799905127969358,2005.948,0.999397590361446,0.999500499500499
